Trial Title,Trial Phase,Trial Status,Sponsor,Disease,Patient Segment,MeSH Term,Countries
A Phase Ib/II Open-label Study of Samuraciclib in Combination With Elacestrant in Participants With Metastatic or Locally Advanced Hormone Receptor-positive and Human Epidermal Growth Factor Receptor 2-negative Breast Cancer,I/II,Open,"Menarini Group
Carrick Therapeutics",Oncology: Breast,Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage III; Stage IV,Breast Neoplasms,France; Spain; United Kingdom; United States
"A Phase Ia/Ib, Dose-Escalation/Dose-Expansion Study of NPX267 in Subjects With Solid Tumors Known to Express HHLA-2",I,Planned,NextPoint Therapeutics,"Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Endometrial; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Osteosarcoma; Oncology: Pancreas; Oncology: Prostate; Oncology: Renal; Oncology: Unspecified Solid Tumor",(N/A); EGFR; Line of therapy N/A; Second line; Stage III; Triple receptor negative,"Bile Duct Neoplasms; Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Cholangiocarcinoma; Colorectal Neoplasms; Endometrial Neoplasms; Ewing Sarcoma; Kidney Neoplasms; Neoplasms; Osteosarcoma; Pancreatic Neoplasms; Prostatic Neoplasms; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",United States
"A Phase 1, Open-label Dose Escalation and Dose-Expansion Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy of D3L-001 Monotherapy in Subjects With HER2-Positive Advanced Solid Tumors.",I,Planned,D3 Bio (Wuxi) Co.,Oncology: Breast; Oncology: Esophageal; Oncology: Gastric; Oncology: Unspecified Solid Tumor,HER2 positive; Line of therapy N/A; Stage III; Stage IV,Breast Neoplasms; Esophageal Neoplasms; Neoplasms; Stomach Neoplasms,China; United States
"A Phase I/II, Open-label, Multicenter Study to Evaluate the Safety, Pharmacokinetics, Pharmacodynamics, and Efficacy of HB0045 in Patients With Advanced Solid Tumors",I/II,Planned,"MD Anderson Cancer Center, University of Texas
Dana-Farber/Harvard Cancer Center at Dana Farber Cancer Institute
(Other Hospital/Academic/Medical Center)
Zhejiang Huahai Pharmaceutical Co./Huabo Biopharm Co.","Oncology: Breast; Oncology: Colorectal; Oncology: Endometrial; Oncology: Fallopian Tube; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Pancreas; Oncology: Primary Peritoneal; Oncology: Prostate; Oncology: Renal; Oncology: Soft Tissue Sarcoma; Oncology: Unspecified Solid Tumor",Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Colorectal Neoplasms; Endometrial Neoplasms; Fallopian Tube Neoplasms; Fibrosarcoma; Head and Neck Neoplasms; Kidney Neoplasms; Leiomyosarcoma; Liposarcoma; Liver Neoplasms; Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Peritoneal Neoplasms; Prostatic Neoplasms; Rhabdomyosarcoma; Sarcoma; Synovial Sarcoma; Wilms Tumor",United States
"A Phase Ib/II Study to Evaluate the Novel Combination of Samuraciclib And Vepdegestrant, In Patients Who Have Received Prior CDK4/6i, with ER+, HER2- Metastatic Breast Cancer",I/II,Planned,"Pfizer
Arvinas",Oncology: Breast,Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage IV,Breast Neoplasms,United States
"A First-in-human, Multicenter, Open-label, Dose Escalation and Dose Expansion Phase I Study in Patients With Advanced Solid Tumors to Evaluate the Safety of Intravenously Administered ALG.APV-527",I/II,Open,"Alligator Bioscience
Aptevo Therapeutics","Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Esophageal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate; Oncology: Renal; Oncology: Unspecified Solid Tumor",Line of therapy N/A; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Colorectal Neoplasms; Esophageal Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",United States
"An Open-label, Single-arm, Phase Ib/II  Study to Investigate the Safety, Efficacy and Pharmacokinetics of LS301-IT in Female Patients Undergoing Partial Mastectomy and Sentinel Lymph Node Biopsy (SLNB) for Ductal Carcinoma in Situ (DCIS) or Stage I-II Primary Invasive Breast Cancer",I/II,Open,Integro Theranostics,Oncology: Breast,Line of therapy N/A; Stage I; Stage II,"Breast Neoplasms; Carcinoma; Carcinoma, Ductal; Carcinoma, Ductal, Breast",United States
"A Phase I/IIa, Open-label, Multi-center Study to Assess the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of the DNA Polymerase Theta Inhibitor ART6043 Administered Orally as Monotherapy and in Combination to Patients With Advanced or Metastatic Solid Tumors",I/II,Open,Artios Pharma,Oncology: Breast; Oncology: Unspecified Solid Tumor,HER2 negative; Second line; Stage III; Stage IV,Breast Neoplasms; Neoplasms,United States
"An Open-label, Phase 1, Multicenter Study to Evaluate the Safety and Preliminary Anti-tumor Activity of NT-175 in Human Leukocyte Antigen-A*02:01-Positive Adult Subjects With Unresectable, Advanced and/or Metastatic Solid Tumors That Are Positive for the TP53 R175H Mutation",I,Open,AstraZeneca/Neogene Therapeutics,"Oncology: Breast; Oncology: Colorectal; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Pancreas; Oncology: Unspecified Solid Tumor",(N/A); First line; Line of therapy N/A; Stage III; Stage IV,"Breast Neoplasms; Carcinoma; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Head and Neck Neoplasms; Pancreatic Neoplasms; Squamous Cell Carcinoma of Head and Neck",United States
A First in Human Clinical Trial to Evaluate CRB091 for the Treatment of Colorectal and Triple-negative Breast Cancers,I,Planned,Cancer Research and Biotechnology,Oncology: Breast; Oncology: Colorectal,(N/A); HER2 negative; Line of therapy N/A; Triple receptor negative,Breast Neoplasms; Colorectal Neoplasms,United States
PRE-Investigation of Serial Studies to Predict Your Therapeutic Response With Imaging And moLecular Analysis: A Phase I/Ib Platform Trial,I,Open,(Other Cooperative Group),Oncology: Breast; Oncology: Unspecified Solid Tumor,Estrogen receptor positive; HER2 negative; HER2 positive; Line of therapy N/A; Progesterone receptor positive; Stage IV; Triple receptor negative,Breast Neoplasms; Carcinoma; Triple Negative Breast Neoplasms,United States
"A Multi-Regional, Open-Label, Dose Escalation and Dose Expansion Phase Ⅰ Clinical Study to Investigate the Safety, Tolerability, Pharmacokinetics, Immunogenicity and Preliminary Efficacy of HF158K1 in Participants With HER-2 Positive or HER-2 Low Expression Advanced Solid Tumors",I,Planned,Hangzhou HighField Biopharmaceutical Co.,"Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate; Oncology: Unspecified Solid Tumor",(N/A); HER2 positive; Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms; Small Cell Lung Carcinoma; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms",China; United States
"A Phase I, Open-label Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of ISM3091 in Patients with Advanced Solid Tumors",I,Planned,InSilico Medicine,Oncology: Breast; Oncology: Unspecified Solid Tumor,BRCA; Line of therapy N/A; Stage III; Stage IV,Breast Neoplasms,China; United States
"Phase I/Ib, Open-label, Dose-escalating, Clinical and Pharmacokinetic Study of PM54 Administered Intravenously to Patients With Selected Advanced Solid Tumors.",I,Open,PharmaMar,"Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Endometrial; Oncology: Esophageal; Oncology: Fallopian Tube; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Melanoma; Oncology: Mesothelioma; Oncology: Neuroendocrine; Oncology: Ovarian; Oncology: Pancreas; Oncology: Primary Peritoneal; Oncology: Prostate; Oncology: Renal; Oncology: Soft Tissue Sarcoma; Oncology: Unspecified Solid Tumor",(N/A); Advanced; BRAF; Estrogen receptor positive; Fourth line or greater; Gastrointestinal; HER2 negative; HER2 positive; High-grade; Pancreas; Progesterone receptor positive; Pulmonary; Second line; Stage III; Stage IV; Third line; Triple receptor negative,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Endometrial Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Fibrosarcoma; Kidney Neoplasms; Leiomyosarcoma; Liposarcoma; Melanoma; Mesothelioma; Neoplasms; Neuroendocrine Tumors; Ovarian Neoplasms; Pancreatic Neoplasms; Peritoneal Neoplasms; Prostatic Neoplasms; Rhabdomyosarcoma; Sarcoma; Small Cell Lung Carcinoma; Stomach Neoplasms; Synovial Sarcoma; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",Belgium; Spain; United States
A Phase I Clinical Study of A009 in Patients with HER2-positive breast cancer,I,Planned,Convalife,Oncology: Breast,(N/A); HER2 positive; Line of therapy N/A,Breast Neoplasms,China; United States
A First in Human Dose Escalation of Dendritic Cell Vaccine (DCV) Administered Intrathecally (IT) Primed Against HER2/HER3 in Patients With Leptomeningeal Disease (LMD) From Triple-Negative Breast Cancer (TNBC) or HER2+ Breast Cancer (HER2+BC),I,Open,"H. Lee Moffitt Cancer Center and Research Institute
(Other Hospital/Academic/Medical Center)",Oncology: Breast; Oncology: Metastatic Cancer,(N/A); CNS mets; Line of therapy N/A; Triple receptor negative,Brain Neoplasms; Breast Neoplasms; Central Nervous System Neoplasms; Meningeal Neoplasms; Neoplasm Metastasis; Triple Negative Breast Neoplasms,United States
"Study to Explore the Safety, Tolerability, and Pharmacokinetics of AMG 305 in Subjects With Advanced Solid Tumors.",I,Open,Amgen,"Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Mesothelioma; Oncology: Pancreas; Oncology: Unspecified Solid Tumor",(N/A); First line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Head and Neck Neoplasms; Mesothelioma; Pancreatic Neoplasms; Stomach Neoplasms; Uterine Cervical Neoplasms",Australia; United States
