Trial Title,Trial Phase,Trial Status,Sponsor,Disease,Patient Segment,MeSH Term,Countries
A Prospective Feasibility Study Using ctDNA to Tailor Neoadjuvant Chemotherapy for Patients With Colorectal or Appendiceal Adenocarcinoma,I,Planned,"MD Anderson Cancer Center, University of Texas;",Oncology: Colorectal; Oncology: Unspecified Cancer,(N/A); Line of therapy N/A,Colorectal Neoplasms; Neoplasms,United States
A Randomized Clinical Trial Comparing ctDNA-Directed Therapy Change With Standard of Care in Patients With Metastatic Triple Negative Breast Cancer,II,Open,"National Institutes of Health/National Cancer Institute;
Vanderbilt-Ingram Cancer Center;",Oncology: Breast,Estrogen receptor positive; First line; HER2 negative; Progesterone receptor positive; Stage IV; Triple receptor negative,Breast Neoplasms; Carcinoma,United States
"Combination Post-transplant Consolidation Therapy With Isatuximab, Lenalidomide, Dexamethasone (IsaRD) in Multiple Myeloma Patients With Persistent Marrow Minimal Residual Disease (Elimination of MRD After Transplant; E-MAT)",II,Open,Medical College of Wisconsin Cancer Center;,Oncology: Multiple Myeloma,(N/A); First line; Untreated,"Multiple Myeloma; Neoplasm, Residual; Neoplasms, Plasma Cell",United States
"Phase II Study of MRD Guided, FIxed DuRation TherApy for Previously Untreated Chronic Lymphocytic LeukEmia With Pirtobrutinib and Venetoclax (MIRACLE)",II,Open,"National Institutes of Health/National Cancer Institute;
Mayo Clinic;","Oncology: Leukemia, Chronic Lymphocytic",(N/A); First line,"Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid",United States
A Phase 1/1b Multicenter Ascending Dose Study to Evaluate the Safety of HA-1 Minor Histocompatibility Antigen-Reactive TCR-Modified T Cells (BSB-1001) in Patients Undergoing HLA-Matched Allogenic Hematopoietic Stem Cell Transplant (alloSCT) for MRD+ AML or ALL or Poor/Very Poor Risk MDS,I,Planned,BlueSphere Bio;,"Oncology: Leukemia, Acute Lymphocytic; Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome",(N/A); High risk; Int-1 risk; Int-2 risk; Line of therapy N/A; Low risk,"Leukemia, Myeloid, Acute; Myelodysplastic Syndromes; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
Pilot Study to Evaluate the Role for Circulating Tumor DNA (ctDNA) in Monitoring Subjects With Muscle-invasive Bladder Cancer Treated With Trimodality Therapy,IV,Open,UNC Lineberger Comprehensive Cancer Center;,Oncology: Bladder,(N/A); Line of therapy N/A,Urethral Neoplasms; Urinary Bladder Neoplasms,United States
"A Randomized, Open Labeled Phase II Pilot Study of Total Neoadjuvant Chemotherapy With FLOT ( FLOT-TNT) VS Standard Perioperative FLOT ( FLOTPOP) in Patients With Gastric or GEJ Cancer, and Assessment of CTDNA as Correlative Biological Response",II,Planned,Baylor College of Medicine;,Oncology: Esophageal; Oncology: Gastric,Adjuvant; Neoadjuvant; Stage I; Stage II; Stage III,Adenocarcinoma; Esophageal Neoplasms; Stomach Neoplasms,United States
Phase I Safety and Tolerability Trial of CD19 Directed CAR T Cells in Adult Patients With B-Cell Acute Lymphoblastic Leukemia (B-ALL) With Minimal Residual Disease (MRD) Positivity at First Complete Remission,I,Open,University of Colorado;,"Oncology: Leukemia, Acute Lymphocytic",B-cell; Line of therapy N/A; Remission,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
Evaluating Novel Therapies and ctDNA as a Marker in Curatively-Treated Gastrointestinal Cancers With Microscopic Residual Disease,III,Open,"Roche/Genentech;
Georgetown University;
Natera;",Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Colorectal; Oncology: Gallbladder; Oncology: Gastric; Oncology: Liver; Oncology: Pancreas,Distal; Hilar; Intrahepatic; PD-1 Naive; PD-L1 Naive; Second line; Stage II; Stage IV,Adenocarcinoma; Bile Duct Neoplasms; Cholangiocarcinoma; Colorectal Neoplasms; Gallbladder Neoplasms; Liver Neoplasms; Pancreatic Neoplasms; Stomach Neoplasms,United States
ctDNA-Guided Sunitinib And Regorafenib Therapy for Gastrointestinal Stromal Tumor (GIST),II,Open,University of Miami School of Medicine;,Oncology: GIST,Metastatic; Second line; Unresectable,Gastrointestinal Stromal Tumors,United States
