Trial Title,Protocol/Trial ID,Trial Phase,Trial Status,Sponsor,Disease,Patient Segment,MeSH Term,Countries
A Prospective Feasibility Study Using ctDNA to Tailor Neoadjuvant Chemotherapy for Patients With Colorectal or Appendiceal Adenocarcinoma,"2023-0214
NCI-2023-0538
NCT05947838
TrialTroveID-478040",I,Planned,"MD Anderson Cancer Center, University of Texas",Oncology: Colorectal; Oncology: Unspecified Cancer,(N/A); Line of therapy N/A,Colorectal Neoplasms; Neoplasms,United States
A Randomized Clinical Trial Comparing ctDNA-Directed Therapy Change With Standard of Care in Patients With Metastatic Triple Negative Breast Cancer,"NCI-2023-01721
NCT05770531
TrialTroveID-462260
VICCBRE2257",II,Open,"National Institutes of Health/National Cancer Institute
Vanderbilt-Ingram Cancer Center",Oncology: Breast,Estrogen receptor positive; First line; HER2 negative; Progesterone receptor positive; Stage IV; Triple receptor negative,Breast Neoplasms; Carcinoma,United States
"Combination Post-transplant Consolidation Therapy With Isatuximab, Lenalidomide, Dexamethasone (IsaRD) in Multiple Myeloma Patients With Persistent Marrow Minimal Residual Disease (Elimination of MRD After Transplant; E-MAT)","EMAT
NCT05690984
PRO00046592
TrialTroveID-455922",II,Open,Medical College of Wisconsin Cancer Center,Oncology: Multiple Myeloma,(N/A); First line; Untreated,"Multiple Myeloma; Neoplasm, Residual; Neoplasms, Plasma Cell",United States
"Phase II Study of MRD Guided, FIxed DuRation TherApy for Previously Untreated Chronic Lymphocytic LeukEmia With Pirtobrutinib and Venetoclax (MIRACLE)","NCI-2022-09676
NCT05677919
TrialTroveID-453096",II,Open,"National Institutes of Health/National Cancer Institute
Mayo Clinic","Oncology: Leukemia, Chronic Lymphocytic",(N/A); First line,"Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid",United States
A Phase 1/1b Multicenter Ascending Dose Study to Evaluate the Safety of HA-1 Minor Histocompatibility Antigen-Reactive TCR-Modified T Cells (BSB-1001) in Patients Undergoing HLA-Matched Allogenic Hematopoietic Stem Cell Transplant (alloSCT) for MRD+ AML or ALL or Poor/Very Poor Risk MDS,TrialTroveID-449860,I,Planned,BlueSphere Bio,"Oncology: Leukemia, Acute Lymphocytic; Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome",(N/A); High risk; Int-1 risk; Int-2 risk; Line of therapy N/A; Low risk,"Leukemia, Myeloid, Acute; Myelodysplastic Syndromes; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
Pilot Study to Evaluate the Role for Circulating Tumor DNA (ctDNA) in Monitoring Subjects With Muscle-invasive Bladder Cancer Treated With Trimodality Therapy,"LCCC2208
NCT05630131
TrialTroveID-449202",IV,Open,UNC Lineberger Comprehensive Cancer Center,Oncology: Bladder,(N/A); Line of therapy N/A,Urethral Neoplasms; Urinary Bladder Neoplasms,United States
"A Randomized, Open Labeled Phase II Pilot Study of Total Neoadjuvant Chemotherapy With FLOT ( FLOT-TNT) VS Standard Perioperative FLOT ( FLOTPOP) in Patients With Gastric or GEJ Cancer, and Assessment of CTDNA as Correlative Biological Response","H-50068
NCT05567835
TOGAR
TrialTroveID-444352",II,Planned,Baylor College of Medicine,Oncology: Esophageal; Oncology: Gastric,Adjuvant; Neoadjuvant; Stage I; Stage II; Stage III,Adenocarcinoma; Esophageal Neoplasms; Stomach Neoplasms,United States
Phase I Safety and Tolerability Trial of CD19 Directed CAR T Cells in Adult Patients With B-Cell Acute Lymphoblastic Leukemia (B-ALL) With Minimal Residual Disease (MRD) Positivity at First Complete Remission,"22-0054.cc
NCT05535855
TrialTroveID-441984",I,Open,University of Colorado,"Oncology: Leukemia, Acute Lymphocytic",B-cell; Line of therapy N/A; Remission,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
Evaluating Novel Therapies and ctDNA as a Marker in Curatively-Treated Gastrointestinal Cancers With Microscopic Residual Disease,"MRD-GI
NCI-2023-01487
NCT05482516
STUDY00005282
TrialTroveID-438425",III,Open,"Roche/Genentech
Georgetown University
Natera",Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Colorectal; Oncology: Gallbladder; Oncology: Gastric; Oncology: Liver; Oncology: Pancreas,Distal; Hilar; Intrahepatic; PD-1 Naive; PD-L1 Naive; Second line; Stage II; Stage IV,Adenocarcinoma; Bile Duct Neoplasms; Cholangiocarcinoma; Colorectal Neoplasms; Gallbladder Neoplasms; Liver Neoplasms; Pancreatic Neoplasms; Stomach Neoplasms,United States
ctDNA-Guided Sunitinib And Regorafenib Therapy for Gastrointestinal Stromal Tumor (GIST),"20201368
NCT05366816
TrialTroveID-431692",II,Open,University of Miami School of Medicine,Oncology: GIST,Metastatic; Second line; Unresectable,Gastrointestinal Stromal Tumors,United States
TAS-102 in ctDNA-defined Minimal Residual Disease in Colorectal Cancer After Completion of Adjuvant Chemotherapy,"2021-0823
NCI-2022-03438
NCT05343013
TrialTroveID-430565",II,Open,"MD Anderson Cancer Center, University of Texas
Otsuka Holdings/Taiho Pharmaceutical",Oncology: Colorectal,Adjuvant; Stage II; Stage III; Stage IV,"Colorectal Neoplasms; Neoplasm, Residual",United States
Pirtobrutinib (LOXO-305) Consolidation for MRD Eradication in Patients With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL) Treated With Venetoclax,"2021-0953
NCI-2022-02427
NCT05317936
TrialTroveID-429308",II,Open,"MD Anderson Cancer Center, University of Texas","Oncology: Leukemia, Chronic Lymphocytic; Oncology: Lymphoma, Non-Hodgkin's",(N/A); Indolent; Maintenance/Consolidation; Small lymphocytic lymphoma (SLL),"Chronic Lymphocytic Leukemia; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Lymphoma; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Non-Hodgkin",United States
A Phase II Study of Daratumumab-Hyaluronidase for Chemotherapy-Relapsed/Refractory Minimal Residual Disease (MRD) in T Cell Acute Lymphoblastic Leukemia (T-ALL,"EA9213
NCI-2021-13973
NCT05289687
TrialTroveID-427847",II,Open,"Eastern Cooperative Oncology Group (ECOG)
Johnson & Johnson/Janssen Pharmaceuticals","Oncology: Leukemia, Acute Lymphocytic",Second line; T-cell,"Leukemia; Leukemia, Lymphoid; Neoplasm, Residual; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma",United States
A Phase II Study of Vibecotamab (XmAb14045) for MRD- Positive AML and MDS After Hypomethylating Agent Failure,"2021-1124
NCI-2022-02215
NCT05285813
TrialTroveID-427760",II,Open,"MD Anderson Cancer Center, University of Texas","Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome",High risk; Remission; Second line,"Acute Myelocytic Leukemia; Leukemia, Myeloid, Acute; Myelodysplastic Syndromes; Unspecified",United States
MRD-Guided Sequential Therapy For Deep Response in Newly Diagnosed Multiple Myeloma - MASTER-2 Trial,"MASTER-2
NCT05231629
TrialTroveID-424675
UAB-21107",II,Planned,"University of Alabama, Birmingham
Johnson & Johnson/Janssen Pharmaceuticals",Oncology: Multiple Myeloma,(N/A); First line; Maintenance/Consolidation; Untreated,"Multiple Myeloma; Neoplasms, Plasma Cell",United States
BESPOKE Study of ctDNA Guided Immunotherapy,"20-043-NCP
BESPOKE IO
Natera 20-043-NCP (BESPOKE IO)
NCI-2021-11359
NCT04761783
TrialTroveID-421231",IV,Open,Natera,"Oncology: Colorectal; Oncology: Lung, Non-Small Cell; Oncology: Melanoma",Line of therapy N/A; Stage III; Stage IV,"Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Melanoma",United States
A Pilot Observational Study to Assess Feasibility of Tumor Response Assessment by Circulating Tumor DNA (ctDNA) in Patients With Locally Advanced Esophageal and GE Junction Adenocarcinoma Undergoing Treatment With Total Upfront Chemotherapy and Chemoradiation,"NCT05067842
PRO00041977
TRACT DNA
TrialTroveID-415404",II,Open,Medical College of Wisconsin Cancer Center,Oncology: Esophageal; Oncology: Gastric,Neoadjuvant; Stage III,Adenocarcinoma; Esophageal Cancer; Esophageal Neoplasms; Stomach Carcinoma; Stomach Neoplasms,United States
Risk-Stratified Adjuvant Therapy: ctDNA-Directed Post-Hepatectomy Chemotherapy for Patients With Resectable Colorectal Liver Metastases,"2021-0584
NCT05062317
TrialTroveID-415065",II,Open,"MD Anderson Cancer Center, University of Texas",Oncology: Colorectal; Oncology: Metastatic Cancer,Adjuvant; Liver mets; Stage IV,Colorectal Neoplasms; Liver Neoplasms; Neoplasm Metastasis,United States
A Phase II Randomized Study of Tiragolumab Plus Atezolizumab Versus Atezolizumab in the Treatment of Stage II Melanoma Patients Who Are ctDNA-positive Following Resection,"202111158
NCI-2022-00134
NCT05060003
TrialTroveID-414829",II,Open,"Washington University School of Medicine
Roche/Genentech",Oncology: Melanoma,Adjuvant; Stage II,Melanoma,United States
Application of ctDNA Assay in the Neoadjuvant and Adjuvant Chemotherapy Setting in Patients With Resectable Pancreatic Cancer,"NCT05052671
OU-SCC-ctDNA
TrialTroveID-414422",I,Open,"University of Oklahoma
Natera",Oncology: Pancreas,Adjuvant; Neoadjuvant; Stage I; Stage II,Pancreatic Cancer; Pancreatic Neoplasms,United States
"A Phase Ib Study of Immunotherapy with Ex Vivo Pre-Activated and Expanded Cb-Nk Cells in Combination with Cetuximab, in Colorectal Cancer Patients with Minimal Residual Disease (MRD)","2021-0076
NCI-2021-09411
NCT05040568
TrialTroveID-413497",I,Open,"MD Anderson Cancer Center, University of Texas",Oncology: Colorectal,Second line; Stage II; Stage III; Stage IV,"Colorectal Neoplasms; Neoplasm, Residual",United States
"A Phase III, Double-blind, Randomised Study to Assess Switching to AZD9833 (a Next Generation, Oral SERD) + CDK4/6 Inhibitor (Palbociclib or Abemaciclib) vs Continuing Aromatase Inhibitor (Letrozole or Anastrozole)+ CDK4/6 Inhibitor in HR+/HER2-MBC Patients With Detectable ESR1Mutation Without Disease Progression During 1L Treatment With Aromatase Inhibitor+ CDK4/6 Inhibitor- A ctDNA Guided Early Switch Study","D8534C00001
EudraCT Number: 2021-000546-17
jRCT2011210033
NCI-2022-01653
NCT04964934
SERENA-6
TrialTroveID-409041",III,Open,AstraZeneca,Oncology: Breast,Estrogen receptor positive; First line; HER2 negative; Progesterone receptor positive; Stage IV,Breast Neoplasms; Disease Progression,"Australia; Austria; Belgium; Bulgaria; Canada; France; Germany; Hungary; Italy; Japan; Norway; Poland; Portugal; Russia; Slovakia; South Korea; Spain; Switzerland; Taiwan, China; Turkey; United Kingdom; United States"
